document_id,original_sentence_id,original_text,simplified_text,orig_tokens,simp_tokens,ratio
FEINA,0,"Aunque parezca extraño, es posible que un bien pueda ser útil en una circunstancia y no en otra.",Es posible que un bien sea útil en una circunstancia y otra en otra no.,20,16,0.8
FEINA,1,"Antes de elaborar un presupuesto, como previamente lo señalamos, que implica necesariamente referirse al factor dinero, hay que trabajar en lo que algunos autores denominan Planeación de Vida.","Antes de elaborar un presupuesto que implica necesariamente referirse al factor dinero, hay que trabajar en lo que algunos autores denominan Planeación de Vida.",32,26,0.8125
FEINA,2,"En poco tiempo, si continúas haciendo los pagos regularmente, los montos adeudados disminuirán.","En poco tiempo, los montos adeudados bajarán.",16,9,0.5625
FEINA,3,"Desde luego, invertir dinero, cuando obviamente se tiene para ello, suele ser un tema que intimida a muchas personas que no tienen experiencia.","Cuando las personas tienen dinero para invertir, este tema les suele intimidar porque no tienen experiencia.",27,18,0.6666666666666666
FEINA,4,"Cuando un inversionista compra un bono, le está prestando su dinero ya sea a un gobierno o a un banco.","Cuando un inversionista compra un bono, le presta dinero a un gobierno o un banco.",22,17,0.7727272727272727
FEINA,5,"Para responder a esto, quizás ya puedan hacerse algunas inferencias derivadas de lo anterior.",Quizás puedan hacerse algunas inferencias derivadas de lo anterior.,16,10,0.625
FEINA,6,"También existe la modalidad, y según diferentes circunstancias, que las empresas mismas aseguran a sus trabajadores o funcionarios, motivadas unas veces por legislaciones que tienen los países al respecto para determinados trabajos u ocupaciones que tienen involucrados significativos riesgos en su desempeño y otras por iniciativa y políticas de la misma organización o empresa.","También, existe la modalidad donde las empresas aseguran a sus trabajadores según las circunstancias. Esto se hace por legislaciones nacionales para trabajos riesgosos o por iniciativa y políticas de la misma organización o empresa.",58,37,0.6379310344827587
FEINA,7,"Por ejemplo, los solicitantes deben reunir los requisitos según una ""prueba de insuficiencia de medios"".","Por ejemplo, los solicitantes deben reunir los requisitos según una prueba de insuficiencia de medios.",19,17,0.8947368421052632
FEINA,8,"Por supuesto que, si a la empresa no le va bien, las acciones perderán valor.","Si a la empresa le va mal, las acciones perderán valor.",18,13,0.7222222222222222
FEINA,9,"Cuando hayas establecido tus nuevos compromisos respecto al dinero y estés trabajando para alcanzar tus metas, podrás tomar mejores decisiones en cuanto a tus gastos.",Podrás tomar mejores decisiones sobre los gastos cuando establezcas tus compromisos respecto al dinero y trabajes en alcanzar tus metas.,27,21,0.7777777777777778
FEINA,10,"Cuando una persona invierte, lo que está haciendo es construir unos cimientos para su futura libertad, la libertad financiera.",Cuando una persona invierte también construye unos cimientos estables para su futura libertad financiera.,22,15,0.6818181818181818
FEINA,11,"Ahora haga un cuadro como el siguiente: El Ahorro y sus Implicaciones Meta Específica Fecha de realización Plazo (corto, mediano y largo plazo) Costo estimado en $ Cantidad de $ a ahorrar por semana o por mes Comprar un carro Dentro de dos años Corto plazo $12,000 $250 Total:","Haga un cuadro con los siguientes datos: meta específica, fecha de realización, plazo, costo estimado en dólares, cantidad de dólares a ahorrar semanal o mensual:",56,31,0.5535714285714286
FEINA,12,"Si el cubículo del cajero automático es para dos o más personas, trate de cubrir con su cuerpo la pantalla, de manera que nadie más pueda ver cuando digita la clave.",Trate de cubrir con su cuerpo la pantalla de manera que nadie más pueda ver cuando digita la clave en caso de que el cubículo del cajero automático es para dos o más personas.,34,35,1.0294117647058822
FEINA,13,"Sin embargo, aunque el amor y los sentimientos se interpongan, es importante, por no decir que necesario, que la pareja y la familia tomen en conjunto las decisiones que tienen que ver con la realidad y futuro financiero de las mismas.","Sin embargo, es importante que la pareja y la familia tomen en conjunto las decisiones con respecto a su realidad y futuro financiero.",46,25,0.5434782608695652
