document_id,original_sentence_id,original_text,simplified_text,origin
ES_006,0,¿Con qué profesionales debo contactar?,¿Con qué profesionales debes contactar?,ES original
ES_006,1,"Abogados o letrados

Los abogados o letrados son aquellos profesionales encargados de la defensa y dirección de las partes en los procedimientos judiciales y administrativos, asumiendo también con carácter amplio labores de asesoramiento y consejo jurídico en el ámbito extrajudicial para evitar conflictos.","Debes contactar con abogados o letrados.
Los abogados o letrados son los profesionales encargados
de defender y dirigir los procesos judiciales y administrativos.
Ellos también pueden asesorarte, orientarte
y dar consejos para evitar conflictos
fuera del proceso judicial.",ES original
ES_006,2,"Su intervención en la Administración Justicia, actuando ante los Juzgados y Tribunales, es esencial para el correcto desarrollo de los procedimientos al asesorar a los ciudadanos e intervinientes sobre los distintos trámites procesales, garantizando así su derecho a la defensa y asistencia Letrada que consagra el artículo 24 de la Constitución.","La función de los abogados y letrados es esencial
para que los procesos judiciales y administrativos en juzgados y tribunales
sean correctos.
Ellos ayudan a los ciudadanos a realizar trámites
y aseguran que los ciudadanos puedan defenderse
y tener apoyo legal en un juicio.
Este derecho está en el artículo 24 de la Constitución española.
La Constitución es la ley principal y más importante de un Estado.
Explica la organización del Estado y establece los derechos y deberes de la ciudadanía.",ES original
ES_006,3,En España los abogados han de ser licenciados en Derecho y estar inscritos en el correspondiente Colegio Profesional.,"Los abogados deben ser licenciados en Derecho
y estar inscritos en un colegio profesional.
Un colegio profesional es un registro público
en el que los profesionales se pueden inscribir.",ES original
CAT2ES_022,0,"Comenzar a trabajar
Si quieres realizar una actividad laboral en España, ya sea por cuenta propia o por cuenta de otro, debes obtener el número de la Seguridad Social.","Comenzar a trabajar
Si queréis trabajar en España, necesitáis un número de la Seguridad Social.
Esto es necesario tanto si trabajáis para una empresa o persona
o por vuestra cuenta.",CA→ES
CAT2ES_022,1,"Este número te identificará en tus relaciones con la Seguridad Social, que es el sistema público de protección ante situaciones de enfermedad, invalidez, paro, vejez, accidentes de trabajo, maternidad o pérdida del sostén de la familia.","¿Cuál es el número de la Seguridad Social?
Es un número personal que os identifica en vuestras relaciones con la Seguridad social.
La Seguridad Social es un sistema público que asegura a las personas 
una serie de prestaciones mínimas para estas situaciones:
- recibir ayuda si estáis enfermos,
- cobrar el paro si os quedáis sin trabajo,
- tener protección si tenéis un accidente laboral,
- cobrar una pensión cuando os jubiléis,
- y recibir ayudas por maternidad u otras situaciones.",CA→ES
CAT2ES_022,2,"La obtención de tu número de la Seguridad Social es un paso previo y necesario para poder solicitar el alta a la Seguridad Social, que es lo que realmente permite el inicio de una actividad laboral.","Para poder empezar a trabajar debéis solicitar el alta en la Seguridad Social.
Para hacer el alta necesitaréis vuestro número de la Seguridad Social.",CA→ES
CAT2ES_022,3,Darse de alta en la Seguridad Social es obligatorio para comenzar una actividad laboral.,Darse de alta en la Seguridad Social es obligatorio para comenzar una actividad laboral.,CA→ES
CAT2ES_022,4,"•	Si tienes que trabajar por cuenta de otro, es la empresa o la persona empleadora la que tiene que tramitar tu alta en el régimen general de la Seguridad Social.","¿Quién se da de alta en la Seguridad Social?
Si trabajáis para una empresa o para otra persona,
la empresa es la que ha de dar el alta en la Seguridad Social.",CA→ES
CAT2ES_022,5,"•	Si has de trabajar por cuenta propia, eres tú quien ha de solicitar el alta en el régimen especial de trabajadores autónomos (RETA) de la Seguridad Social.","Si trabajáis por vuestra cuenta,
vosotros mismos tendréis que hacer el alta en el RETA.
El RETA es el sistema especial de los autónomos de la Seguridad Social.",CA→ES
CAT2ES_022,6,"Además, en caso de que trabajes por tu cuenta, tendrás que inscribirte o darte de alta en el censo de empresarios, profesionales y retenedores de la Agencia Tributaria.","Si trabajáis por vuestra cuenta, también os daréis de alta
al censo de empresarios y profesionales de la Agencia Tributaria.",CA→ES
IT2ES_051,0,"Dios, Patria y partido
Cómo la centroderecha gobierna con el apoyo variado del mundo católico

La influencia de la Iglesia católica en la política italiana ha cambiado profundamente: ya no existe un “partido de los católicos”, pero las huellas permanecen, en los símbolos, en los lenguajes, en las elecciones legislativas.","La política y la religión
Ahora tenemos un gobierno de partidos de centroderecha. La Iglesia católica lo sostiene.
Antes, la Iglesia católica tenía mucha influencia sobre la política en Italia. Hoy esta influencia ha cambiado mucho. No hay más un partido de los católicos.
Pero la Iglesia es siempre importante en política. Se ve en los símbolos, en las palabras usadas y en las leyes.",IT→ES
IT2ES_051,1,"Para comprender cuánto cuenta todavía hoy el mundo religioso, hemos realizado una investigación en dos artículos: este que están leyendo está dedicado a los partidos en el gobierno, mientras que aquí encontrará el otro artículo, dedicado a los partidos en la oposición.","Queremos entender cuánto la religión es importante en la política hoy. Para esto, hemos escrito 2 artículos.
En este artículo hablamos de los partidos en el gobierno. El otro artículo es sobre los partidos que no están en el gobierno. Lo encontráis aquí.",IT→ES
IT2ES_051,2,"Mitines abiertos en el nombre de María, consignas que entrelazan identidad nacional y fe religiosa.",Encuentros en el nombre de María y frases que unen la patria y la religión,IT→ES
IT2ES_051,3,"En los últimos años, a la derecha, la religión ha vuelto a aparecer en la escena política de manera explícita y a veces espectacular.","En los últimos años, los partidos de derecha hablan de nuevo mucho de religión. Lo hacen de manera directa y a menudo muy fuerte.",IT→ES
IT2ES_051,4,"En octubre de 2019, Giorgia Meloni subía a un escenario en Roma y pronunciaba una frase que se convertiría en el manifiesto de su identidad política: «Yo soy Giorgia, soy una mujer, soy una madre, soy italiana, soy cristiana».","Giorgia Meloni es del partido Fratelli d'Italia. En octubre de 2019, hizo un discurso en Roma. Dijo: ""Yo soy Giorgia, soy una mujer, soy una madre, soy italiana, soy cristiana"". Esta frase muestra cómo Giorgia Meloni se ve en la política.",IT→ES
IT2ES_051,5,"Pocos meses antes, Matteo Salvini había esgrimido un rosario durante un mitin en la plaza del Duomo en Milán, invocando la protección del «corazón inmaculado de María».","Matteo Salvini forma parte del partido Lega Nord. Pocos meses antes, habló en la plaza del Duomo en Milán. Mostró un rosario y pidió ayuda a la Madonna.",IT→ES
IT2ES_051,6,"Eran señales claras: la derecha italiana quería volver a hablar el lenguaje de la tradición, y la religión católica ofrecía símbolos potentes para hacerlo.",Era un mensaje claro: los partidos de derecha quieren usar palabras e ideas tradicionales. La religión católica tiene símbolos fuertes para hacerlo.,IT→ES
IT2ES_051,7,"Y ahora que gobierna el País, la derecha ha transformado esas señales con actos políticos, nombramientos y alianzas.","Ahora los partidos de derecha están en el gobierno italiano. Han realizado su mensaje:
* con sus decisiones
* con sus elecciones de personas para puestos importantes
* con nuevos acuerdos",IT→ES
ES_006_bt_round1,0,¿Con qué expertos debo ponerme en contacto!,¿Con qué especialistas deberías ponerte en contacto?,BT: ES→EN→DE→EN→ES
ES_006_bt_round1,1,"Abogados o Abogadas

Los abogados o abogadas son aquellos profesionales que son responsables de la defensa y representación de las partes en procedimientos judiciales y administrativos, y que también asumen tareas asesoras y legales integrales en el ámbito extrajudicial para evitar conflictos.","Debes contactar a abogados o abogadas.
Los abogados o abogadas son los expertos que son responsables de la defensa y gestión 
de los procedimientos judiciales y administrativos.
También pueden asesorar, dirigir 
y dar consejos para evitar conflictos 
fuera de los procedimientos judiciales.",BT: ES→EN→DE→EN→ES
ES_006_bt_round1,2,"Su intervención en la administración de justicia, actuando ante los tribunales y juzgados, es de importancia esencial para el correcto desarrollo de los procedimientos, ya que asesora a los ciudadanos y partes involucradas en las distintas fases del procedimiento, y así garantiza su derecho a la defensa y asistencia jurídica, que está consagrado en el artículo 24 de la Constitución.","La función de los abogados y procuradores es esencial
para que los procedimientos judiciales y administrativos en los tribunales y juzgados
sean correctos.
Ayudan a los ciudadanos a llevar a cabo los procedimientos
y aseguran que los ciudadanos puedan defenderse
y tener apoyo legal en un proceso.
Este derecho está consagrado en el artículo 24 de la Constitución española.
La Constitución es la ley más importante y significativa de un estado.
Explica la organización del estado y establece los derechos y deberes de la ciudadanía.",BT: ES→EN→DE→EN→ES
